objectid,filename,title,creator,date,description,subject,format
poster27,2022.03.04.jpg,"African American Dance Company ""Black to the Future"" Poster",African American Arts Institute,2022-03-04,"Poster advertising the 24th annual workshop for the African American Dance Company, titled ""Black to the Future""","African American Dance Company, African American Arts Institute",image/jpg
poster28,2022.04.23.jpg,IU Soul Revue 50th Anniversary Concert Poster,African American Arts Institute,2022-04-23,Poster advertising the 50th anniversary performance of IU Soul Revue,"Soul Revue, African American Arts Institute",image/jpg
poster29,2022.11.12.jpg,28th Annual Potpourri of the Arts Poster,African American Arts Institute,2022-11-12,Poster advertising the 28th annual Potpourri of the Arts performance,"African American Dance Company, African American Choral Ensemble, Soul Revue, African American Arts Institute",image/jpg
poster30,2023.03.03.jpg,"25th Annual ""Kukusanya International Africanist Dance Intensive: Women in Drum and Dance"" Poster",African American Arts Institute,2023-03-03,"Poster advertising the 25th annual ""Kukusanya International Africanist Dance Intensive"" workshop","African American Dance Company, African American Arts Institute",image/jpg
poster31,2023.04.23.jpg,"AAAI Records ""Inspire Me"" Promotional Poster","African American Arts Institute, AAAI Records",2023-04-23,"Poster advertising the African American Choral Ensemble's debut album ""Inspire Me,"" produced by the newly created AAAI Records","African American Choral Ensemble, African American Arts Institute, AAAI Records",image/jpg
poster32,2023.11.11.jpg,"29th Annual Potpourri of the Arts ""Road to 50"" Poster",African American Arts Institute,2023-11-11,"Poster advertising the 29th annual Potpourri of the Arts ""Road to 50"" performance","African American Dance Company, African American Choral Ensemble, Soul Revue, African American Arts Institute",image/jpg
poster33,2024.04.13.jpg,"African American Dance Company ""Dancing in the Black"" Poster",African American Arts Institute,2024-04-13,"Poster advertising the African American Dance Company's ""Dancing in the Black"" performance","African American Dance Company, African American Arts Institute",image/jpg
poster34,2024.04.20.jpg,"IU Soul Revue ""A Taste of Soul"" Grooving on the Road to 50 Poster",African American Arts Institute,2024-04-20,"Poster advertising IU Soul Revue's ""A Taste of Soul"" performance","Soul Revue, African American Arts Institute",image/jpg

poster35,2024.04.27.jpg,"African American Choral Ensemble ""Singing on the Road to 50"" Poster",African American Arts Institute,2024-04-27,"Poster advertising the African American Choral Ensemble's ""Singing on the Road to 50"" performance","African American Choral Ensemble, African American Arts Institute",image/jpg
